Division,Jornada,EquipoLocal,EquipoVisitante,GolesLocal,GolesVisitante
Tercera Fuerza,4,DEP. ÍNTIMO,FELINOS,0,1
Tercera Fuerza,4,TAKA TAKA,ROMA,2,3
Tercera Fuerza,4,DEP. CHIPO,ATENAS,4,1
Tercera Fuerza,4,SAN MATEO,BORUSSIA,2,0
Tercera Fuerza,4,RAYADOS GPE.,ATLAS,2,3
Tercera Fuerza,4,SAN PEDRO,DIABLOS ROJOS,0,4
Tercera Fuerza,4,SEÑALAMIENTOS,TIGRES,1,1
Tercera Fuerza,4,NUEVA GENERACIÓN,DINAMARCA,6,0
Tercera Fuerza,4,DEP. OBREGÓN,DEP. ESTRELLA,0,3
Tercera Fuerza,4,TOLUCA SAN GASPAR,DEP. BRUJAS,1,0
Tercera Fuerza,5,ATENAS,TIGRES,1,3
Tercera Fuerza,5,DEP. CHIPO,SAN MATEO,1,3
Tercera Fuerza,5,ATLAS,TAKA TAKA,2,3
Tercera Fuerza,5,DEP. ÍNTIMO,RAYADOS GPE.,0,3
Tercera Fuerza,5,DEP. ESTRELLA,ROMA,2,1
Tercera Fuerza,5,DIABLOS ROJOS,TOLUCA SAN GASPAR,2,2
Tercera Fuerza,5,BORUSSIA,SEÑALAMIENTOS,0,4
Tercera Fuerza,5,SAN PEDRO,DINAMARCA,3,1
Tercera Fuerza,5,DEP. OBREGÓN,FELINOS,2,3
Tercera Fuerza,5,NUEVA GENERACIÓN,DEP. BRUJAS,1,0
Tercera Fuerza,6,ROMA,DEP. ÍNTIMO,2,1
Tercera Fuerza,6,TIGRES,ATLAS,2,2
Tercera Fuerza,6,NUEVA GENERACIÓN,DEP. OBREGÓN,3,3
Tercera Fuerza,6,TAKA TAKA,BORUSSIA,7,0
Tercera Fuerza,6,FELINOS,SAN PEDRO,0,1
Tercera Fuerza,6,SAN MATEO,DEP. ESTRELLA,1,2
Tercera Fuerza,6,DIABLOS ROJOS,ATENAS,2,1
Tercera Fuerza,6,SEÑALAMIENTOS,DEP. CHIPO,7,0
Tercera Fuerza,6,TOLUCA SAN GASPAR,DINAMARCA,2,0
Tercera Fuerza,6,RAYADOS GPE.,DEP. BRUJAS,1,0
Tercera Fuerza,7,TIGRES,TOLUCA SAN GASPAR,0,1
Tercera Fuerza,7,DEP. ÍNTIMO,SAN PEDRO,2,5
Tercera Fuerza,7,NUEVA GENERACIÓN,BORUSSIA,2,4
Tercera Fuerza,7,TAKA TAKA,RAYADOS GPE.,0,0
Tercera Fuerza,7,FELINOS,DEP. ESTRELLA,1,2
Tercera Fuerza,7,DIABLOS ROJOS,SAN MATEO,1,1
Tercera Fuerza,7,SEÑALAMIENTOS,ATLAS,1,1
Tercera Fuerza,7,ATENAS,ROMA,0,2
Tercera Fuerza,7,DEP. CHIPO,DEP. OBREGÓN,3,4
Tercera Fuerza,8,BORUSSIA,DEP. CHIPO,1,5
Tercera Fuerza,8,TIGRES,DEP. OBREGÓN,5,2
Tercera Fuerza,8,TAKA TAKA,SAN PEDRO,3,3
Tercera Fuerza,8,SEÑALAMIENTOS,DINAMARCA,1,0
Tercera Fuerza,8,SAN MATEO,FELINOS,2,4
Tercera Fuerza,8,ROMA,NUEVA GENERACIÓN,2,0
Tercera Fuerza,8,TOLUCA SAN GASPAR,RAYADOS GPE.,3,2
Tercera Fuerza,8,ATENAS,DEP. ÍNTIMO,3,2
Tercera Fuerza,8,ATLAS,DEP. ESTRELLA,2,1
Tercera Fuerza,8,DIABLOS ROJOS,DEP. BRUJAS,2,1
Tercera Fuerza,9,DIABLOS ROJOS,DEP. CHIPO,3,2
Tercera Fuerza,9,DEP. BRUJAS,ATENAS,1,2
Tercera Fuerza,9,DEP. ÍNTIMO,ATLAS,1,1
Tercera Fuerza,9,DEP. ESTRELLA,TIGRES,3,2
Tercera Fuerza,9,DEP. OBREGÓN,SAN PEDRO,0,1
Tercera Fuerza,9,DINAMARCA,TAKA TAKA,1,3
Tercera Fuerza,9,FELINOS,SEÑALAMIENTOS,1,1
Tercera Fuerza,9,NUEVA GENERACIÓN,SAN MATEO,0,0
Tercera Fuerza,9,RAYADOS GPE.,ROMA,0,1
Tercera Fuerza,9,TOLUCA SAN GASPAR,BORUSSIA,4,2
Tercera Fuerza,10,DIABLOS ROJOS,SAN PEDRO,2,0
Tercera Fuerza,10,ATENAS,DEP. OBREGÓN,3,1
Tercera Fuerza,10,ATLAS,BORUSSIA,2,3
Tercera Fuerza,10,DEP. BRUJAS,DEP. ÍNTIMO,1,0
Tercera Fuerza,10,DEP. CHIPO,DEP. ESTRELLA,0,5
Tercera Fuerza,10,TIGRES,DINAMARCA,6,1
Tercera Fuerza,10,TAKA TAKA,FELINOS,2,4
Tercera Fuerza,10,SEÑALAMIENTOS,NUEVA GENERACIÓN,2,0
Tercera Fuerza,10,SAN MATEO,RAYADOS GPE.,0,1
Tercera Fuerza,10,TOLUCA SAN GASPAR,ROMA,1,1
Tercera Fuerza,11,DINAMARCA,DIABLOS ROJOS,1,5
Tercera Fuerza,11,TAKA TAKA,ATENAS,2,2
Tercera Fuerza,11,DEP. OBREGÓN,ATLAS,0,1
Tercera Fuerza,11,DEP. BRUJAS,BORUSSIA,1,1
Tercera Fuerza,11,DEP. ÍNTIMO,DEP. CHIPO,0,3
Tercera Fuerza,11,FELINOS,TIGRES,1,2
Tercera Fuerza,11,NUEVA GENERACIÓN,SAN PEDRO,1,3
Tercera Fuerza,11,RAYADOS GPE.,SEÑALAMIENTOS,1,1
Tercera Fuerza,11,ROMA,SAN MATEO,0,1
Tercera Fuerza,11,DEP. ESTRELLA,TOLUCA SAN GASPAR,1,2
Tercera Fuerza,12,DIABLOS ROJOS,FELINOS,1,0
Tercera Fuerza,12,ATENAS,DINAMARCA,2,0
Tercera Fuerza,12,ATLAS,SAN PEDRO,0,1
Tercera Fuerza,12,BORUSSIA,DEP. OBREGÓN,0,1
Tercera Fuerza,12,DEP. CHIPO,RAYADOS GPE.,2,1
Tercera Fuerza,12,DEP. ESTRELLA,DEP. ÍNTIMO,4,0
Tercera Fuerza,12,TIGRES,NUEVA GENERACIÓN,7,1
Tercera Fuerza,12,TAKA TAKA,DEP. BRUJAS,4,1
Tercera Fuerza,12,SEÑALAMIENTOS,ROMA,1,2
Tercera Fuerza,12,TOLUCA SAN GASPAR,SAN MATEO,1,1
Tercera Fuerza,13,NUEVA GENERACIÓN,DIABLOS ROJOS,3,1
Tercera Fuerza,13,SEÑALAMIENTOS,ATENAS,5,1
Tercera Fuerza,13,DEP. CHIPO,ATLAS,3,3
Tercera Fuerza,13,SAN PEDRO,SAN MATEO,0,0
Tercera Fuerza,13,ROMA,DEP. OBREGÓN,2,0
Tercera Fuerza,13,DEP. BRUJAS,DEP. ESTRELLA,0,1
Tercera Fuerza,13,RAYADOS GPE.,TIGRES,7,1
Tercera Fuerza,13,DINAMARCA,TAKA TAKA,P,P
Tercera Fuerza,13,BORUSSIA,FELINOS,1,4
Tercera Fuerza,13,DEP. ÍNTIMO,TOLUCA SAN GASPAR,3,3
Tercera Fuerza,14,TIGRES,ROMA,3,0
Tercera Fuerza,14,ATLAS,FELINOS,5,0
Tercera Fuerza,14,SAN PEDRO,TOLUCA SAN GASPAR,0,1
Tercera Fuerza,14,SAN MATEO,DEP. OBREGÓN,4,3
Tercera Fuerza,14,RAYADOS GPE.,DEP. BRUJAS,1,0
Tercera Fuerza,14,DEP. ESTRELLA,SEÑALAMIENTOS,3,2
Tercera Fuerza,14,DIABLOS ROJOS,DEP. ÍNTIMO,4,0
Tercera Fuerza,14,ATENAS,NUEVA GENERACIÓN,2,2
Tercera Fuerza,14,BORUSSIA,DINAMARCA,1,0
Tercera Fuerza,14,TAKA TAKA,DEP. CHIPO,0,1
Tercera Fuerza,15,DIABLOS ROJOS,SEÑALAMIENTOS,0,2
Tercera Fuerza,15,TIGRES,DEP. CHIPO,4,0
Tercera Fuerza,15,BORUSSIA,ROMA,1,4
Tercera Fuerza,15,TAKA TAKA,SAN MATEO,0,1
Tercera Fuerza,15,DEP. BRUJAS,SAN PEDRO,1,5
Tercera Fuerza,15,NUEVA GENERACIÓN,FELINOS,1,4
Tercera Fuerza,15,ATENAS,RAYADOS GPE.,0,2
Tercera Fuerza,15,DEP. ESTRELLA,DEP. OBREGÓN,1,0
Tercera Fuerza,15,ATLAS,TOLUCA SAN GASPAR,3,2
Tercera Fuerza,15,DEP. ÍNTIMO,DINAMARCA,1,0
Tercera Fuerza,16,DEP. ESTRELLA,NUEVA GENERACIÓN,4,0
Tercera Fuerza,16,BORUSSIA,TIGRES,0,1
Tercera Fuerza,16,ATLAS,DEP. BRUJAS,1,0
Tercera Fuerza,16,SAN PEDRO,DEP. CHIPO,4,0
Tercera Fuerza,16,ROMA,FELINOS,1,1
Tercera Fuerza,16,SEÑALAMIENTOS,DEP. OBREGÓN,1,0
Tercera Fuerza,16,DIABLOS ROJOS,RAYADOS GPE.,2,5
Tercera Fuerza,16,TOLUCA SAN GASPAR,ATENAS,1,0
Tercera Fuerza,16,TAKA TAKA,SAN MATEO,1,0
Tercera Fuerza,16,DEP. ÍNTIMO,DINAMARCA,P,P
